"data_sprawdzenia","nazwa kanalu","url kanalu","liczba subskrybentow","suma wyswietlen filmow, które ukazaly się na kanale w osatnim tygodniu","suma wyswietlen filmow, które ukazaly się na kanale w osatnim miesiacu"
"2022-01-20","Lingualizer","https://www.youtube.com/channel/UCpeSv0N9tbe2V5fLMVrlodA","1151766","0","0"
"2022-01-20","Natsu","https://www.youtube.com/channel/UCRIH0tn9LkJIPeSFn5xoZ8g","1144373","0","1656406"
"2022-01-20","Sobel","https://www.youtube.com/channel/UCalZDLHUJpNk65HKF4V00LQ","1144250","0","0"
"2022-01-20","7 metrów pod ziemią","https://www.youtube.com/channel/UCwz-vpQaawff1CxXKpU-FAw","1131194","472906","974070"
"2022-01-20","Marcysia Ryskala","https://www.youtube.com/channel/UCfjqT197q_xmj62L7nB4w8Q","1105320","349556","2798128"
"2022-01-20","TVN Talent Show","https://www.youtube.com/channel/UCWJNF5h3No52WmZuspDrG8A","1094755","26595","125717"
"2022-01-20","Farell","https://www.youtube.com/channel/UCc7Ys58zjPxeg8UQ3cyyJsQ","1094459","121429","1592552"
"2022-01-20","Enzzi","https://www.youtube.com/channel/UC2JsvIz4vbZana-1xQiIszg","1085710","265300","1539283"
"2022-01-20","Zuzanna Borucka","https://www.youtube.com/channel/UCpy8Zyt--P0YmuEEMnb9OBQ","1085710","0","45055"
"2022-01-20","Abra","https://www.youtube.com/channel/UCQptKh5GlRY4LdJUmTo-Z3w","1085710","0","81399"
"2022-01-20","LETNI","https://www.youtube.com/channel/UC1dMo0kAzeqbhECwg2Wu_Dw","1074190","0","248183"
"2022-01-20","AsfaltRecords","https://www.youtube.com/channel/UCa1UYrU2QHwfNihohSoMyAw","1074190","0","66643"
"2022-01-20","WarszawskiKoks","https://www.youtube.com/channel/UC2AyohFiDUS3K98h5dJVfog","1054647","110455","786706"
"2022-01-20","WATAHA - Krulestwo","https://www.youtube.com/channel/UCRs73oi5IRLjXminXMp4j9w","1054647","2065727","3405962"
"2022-01-20","DisStream","https://www.youtube.com/channel/UC6RB3Z155elL0xkucydYCww","1054223","175380","1146890"
"2022-01-20","MagdalenaMariaMonika","https://www.youtube.com/channel/UCkE-dO6xHVGgjICTUcmM7zA","1045294","61960","364156"
"2022-01-20","Krzysztof Gonciarz","https://www.youtube.com/channel/UCzuvRWjh7k1SZm1RvqvIx4w","1045294","0","403068"
"2022-01-20","Reżyser Życia","https://www.youtube.com/channel/UCvetOZCfJRcSjP80FUtu0gg","1034546","0","0"
"2022-01-20","Lachu","https://www.youtube.com/channel/UCYo62ZXDD-p2eqk0Qk7y0Uw","1025217","96218","518573"
"2022-01-20","QBIK","https://www.youtube.com/channel/UCNFDUO3dyGVGI-Rt7x3fA5g","1025099","0","155659"
"2022-01-20","Bonda","https://www.youtube.com/channel/UCmlU7184B6TBOyJ2OhseCAg","1015039","190444","492231"
"2022-01-20","Urbex History","https://www.youtube.com/channel/UC7XgxJhy6N6KGMFzELHtlUQ","1015039","349720","1855651"
"2022-01-20","Da Mian","https://www.youtube.com/channel/UCNItRM6A2APyfiYJ0UBwFXw","1015017","52401","319028"
"2022-01-20","YoshihitoMayoshe","https://www.youtube.com/channel/UCJObXjRvDt6sI9KrD8mxXTA","1004651","574517","3249815"
"2022-01-20","miss Aga","https://www.youtube.com/channel/UCfQmIDmbuUdmtlizUeKgkoA","1004651","316942","820205"
"2022-01-20","Polsat","https://www.youtube.com/channel/UCkNOjcTcgLaNL0-XNoe4gtw","1000708","62189","1234131"
"2022-01-20","PLKD","https://www.youtube.com/channel/UCxVLNEn6PsShaMg81amQn3A","984518","913239","4853415"
"2022-01-20","MINIVEVO","https://www.youtube.com/channel/UCnjIhzS3ZY-Jhs0aGRA2pmg","977157","92648","92648"
"2022-01-20","Tomasz Strzelczyk ODDASZFARTUCHA","https://www.youtube.com/channel/UCHnTiRefXHNhLfr-vEF7ZLQ","972039","344653","2009360"
"2022-01-20","Kacper Blonsky","https://www.youtube.com/channel/UCtUbD4Q0BzP1UNkTbMlcc-g","968491","0","0"
"2022-01-20","TEAM X","https://www.youtube.com/channel/UC70N5rd4k6--UNJ4eXx675g","967121","487249","3788831"
"2022-01-20","Troom Troom PL","https://www.youtube.com/channel/UC8_99hNgsYFdPem3EA67HSg","966411","240435","1289893"
"2022-01-20","Lil Masti","https://www.youtube.com/channel/UCYJQbwioblDoHr-ZH5fbozg","965490","58785","100173"
"2022-01-20","Young Igi","https://www.youtube.com/channel/UCvj_LrAbqqSUkqR-C2v5MAw","961478","0","0"
"2022-01-20","Ziemniak","https://www.youtube.com/channel/UCw5LLRR_2lv97Mfwmiy-q2Q","958532","65390","1118727"
"2022-01-20","Iluzjonista Y","https://www.youtube.com/channel/UC-9PtvEZ0P2kSYtSZKlKyRg","955494","0","12309"
"2022-01-20","Godzu","https://www.youtube.com/channel/UCek8zsIojbAidIscsWK-vhQ","950135","862729","4411222"
"2022-01-20","#GM2LTV","https://www.youtube.com/channel/UC09Vurhc7rbhbv_xrPf5JhA","948446","0","5353967"
"2022-01-20","TheHogaty","https://www.youtube.com/channel/UCp3tpEjoX--uIlsTVhYETow","945539","125314","848305"
"2022-01-20","stylizacjeTV","https://www.youtube.com/channel/UC9bfVO7fxmRdDb0juk3ViAA","945518","132980","711204"
"2022-01-20","Adrianna Skon","https://www.youtube.com/channel/UC_IrqtYlVpQRZCvffHQ42Pw","943564","0","19382"
"2022-01-20","Manoyek","https://www.youtube.com/channel/UCqTFe5Dz3mpixUrLfMmY6dw","935440","150942","753277"
"2022-01-20","Lemon Records","https://www.youtube.com/channel/UCGk8ySTMGvqnXciT1qMXqlw","934463","0","262408"
"2022-01-20","Flothar","https://www.youtube.com/channel/UC-n7l2o9AkJYHVcNq2IdZGQ","931583","156121","943314"
"2022-01-20","SŁAWOMIR gwiazda Rock Polo","https://www.youtube.com/channel/UCuNBU4t40LAhoMi1VGXt8uQ","927439","0","34214"
"2022-01-20","DC STUDIO","https://www.youtube.com/channel/UCMGICucxXPHXhlnnIPpjE1Q","925575","111862","1573746"
"2022-01-20","yachuprodukcja","https://www.youtube.com/channel/UCP2EsnkOPsab4qiodHJmmSA","925534","564558","1831776"
"2022-01-20","Kacper Rietz","https://www.youtube.com/channel/UCuT26EQGhSb_fCe2UpDr2Uw","924132","0","1151174"
"2022-01-20","Julia Kostera","https://www.youtube.com/channel/UCh2wLfEpdd9Cqpm9RpAR4Uw","922471","45169","924826"
"2022-01-20","Żądny Przygód","https://www.youtube.com/channel/UCKLxjNFo_Tvm_Hw1GWbINKw","921064","119813","1091612"
